Product,Cost,Selling,Profit_Per_Unit,Total_Profit
Samsung Galaxy S24,45000.00,55000.00,10000.00,10000.00
iPhone 15 Pro,70000.00,85000.00,15000.00,15000.00
HP Pavilion Laptop,35000.00,42000.00,7000.00,7000.00
Nike Air Max,3000.00,4500.00,1500.00,3000.00
Adidas Ultraboost,3500.00,5000.00,1500.00,1500.00
Puma Casual Sneakers,2000.00,3200.00,1200.00,1200.00
Men Cotton T-Shirt,500.00,800.00,300.00,900.00
Women Kurti,700.00,1200.00,500.00,1000.00
Sony Bravia TV,25000.00,32000.00,7000.00,7000.00
LG Washing Machine,15000.00,20000.00,5000.00,5000.00
The Alchemist,200.00,350.00,150.00,300.00
Atomic Habits,250.00,400.00,150.00,450.00
